brewery_num,brewery_name,brewery_addr,brewery_phone,brewery_hp,brewery_alv,brewery_resv
53,설하담,"부산광역시 영도구 남항새싹길 186 1,2층",1588-3819,https://smartstore.naver.com/sulhadam,,Y
54,맹개술도가,경북 안동시 도산면 선성중앙길 32,054-841-1105,https://3d.co.kr/mgsdg/#section01,,Y
55,명세주가,충북 청주시 상당구 가덕면 한계길 32-5,043-297-6122,http://www.mssool.co.kr/,,Y
56,문경호산춘,경북 문경시 산북면 운달로 7 문경호산춘,054-552-7036,https://www.instagram.com/mungyeong_hosanchun/,,Y
57,문배주양조원,경기도 김포시 통진읍 서암리 203-4 ,031-989-9333,https://moonbaesool.modoo.at/?link=as1hiq82,,
58,백제명가주조,충청남도 서천군 한산면 충절로 1133,010-3669-4680,https://smartstore.naver.com/baekje2012,,
59,사곡양조장,충청남도 공주시 사곡면 마곡사로 49(호계리)522-4,041-841-9308,https://bamsul.com/index.html,,
60,해미읍성딸기와인,충청남도 서산시 고북면 신상리 918 고북면 신상리 918번지,041-688-3980,https://xn--ok0b96k0npx9a.com/,,
61,해남진양주,전라남도 해남군 계곡면 덕정길 11,061-532-5745,http://aks.ai/GC07300549,,
62,한주양조,경기도 안성시 서운면 서운로 241-14,031-672-0964,https://www.hanju.kr/,,
63,추연당,경기도 여주시 가남읍 금당리길 1-111,010-6851-3570,https://chuyondang1.modoo.at/,,
64,한영석의발효연구소,전북 정읍시 답곡길 66,010-5340-2112,https://smartstore.naver.com/hans_nuruklab,,
65,㈜하우스오브헤리티지,경기도 용인시 기흥구 백남준로 28-9 2층,0507-1379-3415,https://www.houseofheritage.kr/home,,
66,국순당 고창명주,전라북도 고창군 심원면 선운대로 2197,063-564-9800,http://bokbunjaju.kr/custom/home.html,,
67,지란지교,전라북도 순창군 순창읍 순창7길 5-1 지란지교 (우 : 56040),010-9533-1478,https://smartstore.naver.com/limsugzu,,
68,264 청포도 와인,경상북도 안동시 도산면 백운로 157 (우 : 36604),054-859-0264,http://264wine.kr/htm/main.htm#,,
69,갈기산포도농원,충청북도 영동군 학산면 지내리 384,010-6224-8800,https://galgisanfourmwine.modoo.at/,,
70,강산명주,전라북도 부안군 부안읍 석정로 83,031-766-4573,https://xn--939av7ylte1rj.com/,,
71,고헌정영농조합법인,충북 충주시 산척면 샛강영길 39 고헌정영농조합법인,043-855-3333,http://goheonjeong.co.kr/,,
72,금계당,경상북도 안동시 일직면 운산리 132-7,054-853-0138 ,https://goldenchicken.modoo.at/,,
73,금산인삼주,충청남도 금산군 금성면 파초길 23,041-754-3313,https://www.insamwine.com/shop/main/index.php,,
74,금용농산,충북 영동군 용산면 법화길 5-4,043-744-8998,http://www.mirattowine.com/the-vineyard.html,,
75,금이산농원,세종특별자치시 전으면 가느실길127,044-863-3478,https://geumisan.modoo.at/,,
76,금풍양조장,인천 강화군 길상면 삼랑성길 8,070-4400-1931,https://smartstore.naver.com/gold1931/products/5978983454,,
77,김포금쌀탁주영농조합법인,경기도 김포시 하성면 양택리 388-10,031-989-0104,https://gimpo-network.imweb.me/19,,
78,김포양조,경기도 김포시 월곶면 김포대로 2763,"	031-989-5568",http://kimpo.co.kr/,,
79,내국양조,충청남도 논산시 연무읍 마봉로 361,041-742-3413,https://naekook.modoo.at/,,
80,내올담,경기 성남시 중원구 갈마치로 314 성남센트럴비즈타워 10층 1016호,031-639-6770,https://smartstore.naver.com/naeoldarm,,
81,달홀주 ,강원도 고성군 간성북로 42번길 5,033-681-2008,http://dalholju.com/,,
82,솔티마을,세종특별자치시 전동면 솔티로 375-9,044-862-8168,https://solti.modoo.at/,,
83,시향가,전라남도 곡성군 곡성읍 낙동원로 20,061-363-1982,https://www.sihyangga.co.kr/,,
84,신탄진주조,대전광역시 대덕구 신탄진로 738번길 128(신탄진동),042-932-0432,http://www.stjjujo.co.kr/,,
85,아리랑주조,충남 청양군 대치면 방죽골길 46-19,041-943-7678,https://ystar.modoo.at/,,
86,오산양조,경기도 오산시 시장길 63,031-374-2139,https://www.osansool.com/,,
87,벗드림양조장,부산광역시 강서구 대저1동 2376-2 A동,051-337-3762,https://butdream.modoo.at/,,
88,양촌양조,충청남도 논산시 양촌면 매죽헌로 1665번길 14-7,010-5014-0790,https://yangchon.co.kr/,,
89,토끼소주,서울 강남구 언주로30길 57,,https://tokkisoju.com/,,
90,행주산성주가,경기도 고양시 덕양구 충장로122(블레스타운) 2층 202호,0507-1310-0796,https://hjssjg.cafe24.com/,,
91,(주)죽향도가,전라남도 담양군 담양읍 외다길 30 농업회사법인,010-8213-5200,https://jhdg.co.kr/,,
92,밀과노닐다,경북 안동시 도산면 선성중앙길 32,054-841-1105,https://3d.co.kr/mgsdg/#section01,,
93,농업 법인회사(주)?세찬,경상북도 영천시 임고면 포은로 842-50,054-337-5357,http://se-chan.kr/,,
94,농업회사법인(주)착한농부,경상북도 예천군 용문면 복천길 16-8,1899-6483,http://xn--2j5b27cs5d.kr/,,
95,다도참주가,전남 나주시 다도면 신동리 426-6번지,080-280-2211,http://chamjuga.com/,,
96,대대로영농조합법인,전라남도 진도군 군내면 명량대첩로 288-23,061-542-3399,http://e-hongju.co.kr/D93,,
97,댄싱사이더 컴퍼니,충청북도 충주시 중앙탑면 인담길 35-1,043-844-1616,https://dancingcider.com/index.html,,
98,더한주류,서울시 은평구 증산로7길 28-13,02-2280-8080,https://www.thehan.kr/,,
99,독브루어리,경기도 김포시 하성면 누산봉성로237번길 163,0507-1385-4707,https://dokbrewery.com/,,
100,동강주조,강원도 영월군 영월읍 덕포하리5길 33,010-3313-5589,https://smartstore.naver.com/eastriverbrewery/,,
101,두루,강원도 홍천군 내촌면 용포길 31-25 ,033-433-9090,https://m.durusul.com/,,
102,병영양조장,전라남도 강진군 병영면 하멜로 407,061-432-1010,http://byjujo.co.kr/,,
103,삼산주조장,전라남도 해남군 삼산면 고산로 583-1,061-534-5507,https://www.samsanjujo.co.kr/,,
104,삼양춘,"인천광역시 남동구 호구포로 50, 8층 819-1호",032-851-8979,http://samyangchoon.com/#01,,
105,석이원주조, 대전광역시 동구 흥룡로71번길 27 (가양동),042-485-5520,http://seokiwon.com/,,
106,솔송주,경상남도 함양군 지곡면 지곡창촌길 3,055-963-8992,https://m.solsongju.com/main/index.php,,
107,보은송로,충청북도 보은군 속리산면 구병리 417,0507-1349-0774,https://songroju.modoo.at/,,
108,술샘,경기도 용인시 처인구 죽양대로 2298-1,070-4218-5225,http://sulseam.com/,,
109,시트러스,제주특별자치도 서귀포시 남원읍 신례천로 46,064-767-9800,https://www.ehondiju.com/,,
110,아이비영농조합법인,경기도 양평군 강하면 왕창리 48-3,031-775-0500,https://ibee21.modoo.at/,,
111,알에프,전라북도 장수군 계남면 침곡로 11-26,010-7721-0104,https://rfwinery.modoo.at/?pc=1,,
112,양주골이가전통주,경기 양주시 백석읍 부흥로983번길 12-27, 010-5397-2255,http://egaju.co.kr/,,
113,양주도가,경기 양주시 광적면 현석로 755,1588-3819,https://smartstore.naver.com/yangjudoga,,
114,양양백주가,강원도 양양군 강현면 안골로 221-7,033-672-2217,http://www.yangjisoolgodgan.com/,,
115,양촌양조장,충청남도 논산시 양촌면 매죽헌로 1665번길 14-7,010-5014-0790,https://yangchon.co.kr/,,
116,어메이징브루잉컴퍼니,"서울특별시 성동구 성수일로4길 4, 1층",070-4464-2935,https://amazingbrewing.co.kr/,,
117,영농법인에스비케이조합 ,경상북도 문경시 영순면 오룡리 467-1 ,1599-3262,http://www.sbkok.co.kr/,,
118,추사,충청남도 예산군 고덕면 대몽로 107-25,041-337-9584,https://xn--vf4b19u.com/#none,,Y
119,옥순가,충청남도 서천군 시초면 시초동로 88-1 1층,010-5094-8267,https://oksoonga.modoo.at/,Y,
120,용두산조은술,충북 제천시 송학면 송학주천로 647,043-642-7723,http://www.joeunsul.com/,Y,
121,우포의아침,경남 창녕군 대지면 대지농공단지길 40,070-4105-0997,https://smartstore.naver.com/upo2017?NaPm=ct%3Dlkrvoxqj%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3Dnull%7Chk%3Da2bcd6ed9acfa675784da4fa95ba34f9475563d3,,Y
122,원스피리츠,강원도 원주시 지정면 월송석화로 288 나동 1층,070-4349-3175,https://wonsoju.com/,,Y
123,자두사랑,경상북도 김천시 대학로 214?,054-420-4155?,https://jadusarang.modoo.at/,,Y
124,장희도가,충청북도 청주시 청원구 내수읍 초정리 257-2,0507-1309-8051,https://jhdg3491.modoo.at/,Y,
125,전주 이강주,전라북도 전주시 덕진구 원동 617,063-212-5765,http://www.leegangju.co.kr/,Y,
126,용두산조은술,충북 제천시 송학면 송학주천로 647,043-642-7723,http://www.joeunsul.com/,,Y
127,농업회사법인 정선명주㈜,강원도 정선군 북평면송석길 146-7,033-563-5603,https://ararisool.modoo.at/,,
128,농업회사법인 ㈜제이엘,경상북도 문경시 문경읍 새재로 609,054-572-0601,https://omynara.com/%EB%AC%B8%EA%B2%BD%EB%B0%94%EB%9E%8C/,,
129,제이케이크래프트,부산 동래구 사직북로48번길 34 1층,,www.gidarim.co.kr,,
130,제주본초협동조합 왕지케양조장,"제주 제주시 제주대학로 102, 102호",1544-6051,https://jejucoop.modoo.at/?NaPm=ct%3Dlkrxuype%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3Dnull%7Chk%3Da887fe3ea82ade00b92926d19416d385af532c80,,
131,젤코바와이너리,경기도 성남시 분당구 정자일로 95,1588-3819,https://smartstore.naver.com/meouruwinezelkova,,
132,(주)1932포천일동막걸리,경기도 포천시 일동면 운악청계로 1597,031-532-3007,http://xn--369ay3l35ejd457e5hhnxn.kr/niabbs5/,,
133,㈜두레양조,충남 천안시 서북구 입장면 율목길17-6,041-585-8213,https://dureang.modoo.at/,,
134,㈜성광주조,충남 당진시 순성면 봉소길 41,0507-1407-2123,https://blog.naver.com/sjhup,,
135,㈜시트러스,제주특별자치도 서귀포시 남원읍 신례천로 46,064-767-9800,https://www.ehondiju.com/,,
136,주식회사 초가,강원특별자치도 철원군 김화읍 외골길 33-12,033-458-7676,https://choga.co.kr/,,
137,㈜한국애플리즈,경상북도 의성군 단촌면 일직점곡로 755 한국애플리즈,054-834-7800,https://applewine.co.kr/,,
138,하미앙 와일밸리,경남 함양군 함양읍 삼봉로 442-14,055-964-2500,https://sanmuru.com/,,
139,해미읍성 딸기와인,충청남도 서산신 고북면 산직마을길 85,041-688-3980,https://xn--ok0b96k0npx9a.com/,,
